city,area,rooms,bathroom,parking_spaces,floor,animal_allowance,furniture,association_tax,rent_amount,property_tax,fire_insurance,total_rent
Bangalore,Sarjapur  Road,2,1,1,1,acept,not furnished,840,3000,414,39,4293
Mumbai,Powai,1,1,1,2,not acept,not furnished,690,2820,15,42,3567
Delhi,Safdarjung Enclave,2,2,1,9,acept,not furnished,2850,8400,414,111,11775
Bangalore,Begur Road,4,4,4,11,not acept,not furnished,5550,16500,2502,210,24762
Delhi,Paschim Vihar,1,1,0,2,acept,not furnished,1077,6000,270,78,7425
Bangalore,Sector 2 HSR Layout,1,1,0,5,acept,furnished,1200,6000,15,78,7293
Chennai,Ramapuram,1,1,1,1,not acept,furnished,1719,3384,96,45,5244
Bangalore,AECS Layout,1,1,0,1,not acept,furnished,900,6600,150,84,7734
Kolkata,Madhyamgram,3,1,1,4,acept,not furnished,630,3750,0,51,4431
Bangalore,Haralur Road,3,4,3,1,acept,furnished,3900,15360,2502,195,21957
Bangalore,Yelahanka,1,1,0,9,acept,not furnished,897,3900,90,51,4938
Chennai,Vandalur,1,1,1,4,acept,furnished,1494,6300,252,81,8127
Bangalore,5th Phase JP Nagar,1,1,1,4,acept,not furnished,1860,9300,135,120,11415
Chennai,Veppampatttu,2,2,1,9,acept,not furnished,900,4500,285,60,5745
Bangalore,Gottigere,2,1,1,7,acept,not furnished,1710,4500,201,60,6471
Bangalore,Sarjapur  Road,2,2,1,1,acept,not furnished,840,3000,414,39,4293
Delhi,Noida,3,2,1,3,acept,not furnished,5100,22500,1002,291,28893
Mumbai,Goregaon West,3,4,2,-,not acept,not furnished,0,9270,0,165,9435
Mumbai,Powai,1,1,0,-,not acept,not furnished,600,3300,0,51,3951
Bangalore,Harlur,4,4,4,22,acept,not furnished,5940,20016,1251,255,27462
Bangalore,Chandra Layout,3,5,3,-,acept,furnished,897,18000,624,273,19794
Bangalore,8th Phase JP Nagar,2,1,0,-,acept,not furnished,1125,2970,0,39,4134
Delhi,Greater Kailash II,2,2,1,12,acept,furnished,10497,27000,2307,348,40140
Delhi,Sangam Vihar,3,2,1,7,acept,furnished,4500,24600,1866,318,31290
Kolkata,Joka,3,2,2,-,acept,not furnished,0,7500,672,123,8295
Mumbai,Ghatkopar East,3,1,1,1,acept,not furnished,1140,3270,126,48,4584
Delhi,Patel Nagar,3,2,1,4,acept,not furnished,3300,4050,285,54,7689
Chennai,Adyar,1,1,0,1,acept,furnished,1140,1650,42,21,2853
Delhi,Green Park,1,1,1,5,not acept,not furnished,1614,3750,75,51,5490
Bangalore,Dodsworth Layout,4,3,3,21,acept,not furnished,5052,21000,3060,267,29379
Bangalore,Bharathi Nagar,3,5,0,3,acept,furnished,12855,17400,6147,222,36630
Bangalore,Marathahalli,3,3,4,-,acept,not furnished,3,11100,2850,168,14121
Bangalore,Sathya Sai Layout,3,4,4,9,acept,furnished,10050,30000,4440,381,44880
Mumbai,Khar,3,2,2,2,acept,furnished,1800,8700,660,129,11289
Bangalore,Kasavanhalli,2,2,1,8,acept,furnished,3855,13044,588,168,17655
Kolkata,New Town,2,1,2,1,not acept,not furnished,240,3600,291,48,4179
Bangalore,Hoysalanagar,4,6,3,21,acept,not furnished,11670,38250,5940,486,56340
Chennai,T Nagar,3,1,1,1,not acept,not furnished,1053,2670,120,36,3879
Delhi,Saket,1,1,0,8,acept,not furnished,1368,2700,282,36,4386
Bangalore,Ramamurthy Nagar,3,2,1,11,not acept,not furnished,2940,6000,327,78,9345
Chennai,Thalambur,4,4,0,-,acept,furnished,2070,11100,2169,168,15507
Chennai,Perungudi,1,1,1,5,acept,furnished,3900,5850,0,75,9825
Bangalore,Whitefield,1,1,0,4,acept,not furnished,300,3300,0,42,3642
Bangalore,Uttarahalli,2,2,0,9,not acept,not furnished,1800,7650,138,99,9687
Delhi,New Ashok Nagar,3,2,1,7,acept,not furnished,4980,5100,1425,66,11571
Kolkata,Madurdaha,4,2,2,4,acept,not furnished,1350,10500,351,141,12342
Bangalore,Kadugodi,1,1,0,4,acept,furnished,3960,5190,426,66,9642
Mumbai,Jogeshwari West,1,1,0,2,acept,furnished,360,2340,24,36,2760
Mumbai,Sector 21 Ulwe,2,3,0,3,acept,not furnished,2100,9930,999,147,13176
Delhi,Dwarka Mor,3,1,1,2,acept,not furnished,1650,3600,0,48,5298
Delhi,Dwarka Mor,2,1,0,2,acept,furnished,750,6000,21,78,6849
Chennai,Vengaivasal,3,3,3,-,acept,not furnished,0,14550,1200,219,15969
Bangalore,Bellandur,3,2,1,8,acept,furnished,6000,36000,1002,459,43470
Bangalore,Rajaji Nagar,2,2,2,3,acept,not furnished,5250,9000,852,117,15219
Bangalore,Neeladri Nagar,4,4,0,15,acept,furnished,12000,7500,4452,96,24048
Bangalore,Kasavanhalli,2,2,2,-,not acept,not furnished,0,6360,522,96,6978
Bangalore,Chikkalasandra,3,5,5,-,acept,not furnished,0,24600,3252,372,28224
Kolkata,Parnasree Pally,3,2,2,6,acept,not furnished,3450,3300,0,45,6795
Bangalore,Begur Road,3,4,2,-,acept,furnished,0,21000,1302,318,22620
Chennai,Poonamallee,3,4,2,4,not acept,not furnished,7500,6000,825,78,14403
Bangalore,Haralur Road,3,1,2,-,acept,not furnished,0,10800,1002,165,11967
Delhi,Sector 23 Dwarka,4,3,2,4,acept,not furnished,4050,11700,1800,153,17703
Delhi,Defence Colony,3,2,0,10,not acept,furnished,3780,8850,909,117,13656
Bangalore,Bellandur,2,2,1,12,acept,not furnished,10200,27000,1440,345,39000
Mumbai,Chembur,2,1,0,1,acept,not furnished,1125,2250,78,33,3486
Mumbai,Prabhadevi,1,2,1,6,acept,not furnished,1200,7200,201,108,8709
Mumbai,Dombivali,2,1,0,9,acept,not furnished,1350,3000,102,45,4497
Kolkata,Garia,1,1,0,11,acept,not furnished,1050,3000,0,42,4092
Bangalore,Uttarahalli,1,2,1,10,acept,furnished,3000,12000,327,153,15480
Bangalore,Chandapura,2,2,1,16,acept,not furnished,1467,5250,204,69,6990
Bangalore,Electronics City Phase 1,4,3,2,9,acept,furnished,8400,28590,858,363,38220
Delhi,Rohini sector 16,2,2,1,4,acept,not furnished,600,3600,192,48,4440
Chennai,Guduvancheri,2,1,1,4,acept,not furnished,990,3240,0,42,4272
Bangalore,Bommasandra Industrial Area,4,4,4,-,acept,not furnished,0,30000,65640,453,96120
Kolkata,VIP Haldiram,2,3,3,12,acept,not furnished,2610,45000,2055,600,50280
Bangalore,Bellandur,3,3,3,-,acept,not furnished,0,15000,705,228,15933
Kolkata,Sector 22,4,5,4,-,acept,not furnished,0,18000,1500,297,19797
Chennai,Ayanambakkam,3,4,2,-,acept,not furnished,0,9000,750,138,9888
Mumbai,Thakur Village Road,5,5,3,-,acept,not furnished,0,27000,1500,480,28980
Bangalore,8th Phase JP Nagar,1,1,0,3,not acept,furnished,654,7755,0,30,8439
Delhi,Sainik Farms,2,2,2,8,acept,not furnished,2340,8220,540,108,11208
Bangalore,Bisuvanahalli,4,4,5,-,acept,not furnished,0,45000,5250,678,50940
Bangalore,Bellandur,3,3,1,3,acept,not furnished,6600,9300,900,66,16866
Bangalore,Gunjur Palya,2,3,1,20,acept,not furnished,2475,7680,510,99,10764
Mumbai,Goregaon West,3,3,0,2,acept,not furnished,2250,5100,375,75,7800
Bangalore,Munnekollal,2,4,3,23,acept,not furnished,4200,33000,2325,420,39960
Mumbai,Santacruz East,2,1,0,2,acept,not furnished,240,3990,273,60,4563
Bangalore,Arekere,4,2,3,15,acept,not furnished,4425,7500,921,96,12942
Bangalore,Hosa Road,1,1,0,1,not acept,not furnished,0,3147,93,42,3282
Bangalore,Sarjapur,1,1,0,2,not acept,furnished,0,6180,0,81,6261
Bangalore,Babusapalaya,3,2,2,11,acept,furnished,4050,17610,324,225,22209
Bangalore,Kothanur,2,1,1,3,acept,not furnished,1980,4950,150,63,7143
Bangalore,Bannerghatta Road,3,2,2,-,acept,not furnished,0,11400,0,174,11574
Bangalore,Thanisandra,3,2,2,-,acept,not furnished,0,15000,501,228,15729
Bangalore,Hoskote,3,3,2,1,not acept,not furnished,9600,19500,1425,249,30780
Bangalore,Bisuvanahalli,3,5,8,-,not acept,not furnished,0,27000,1701,408,29109
Bangalore,Malleshwaram,1,2,2,19,acept,not furnished,2700,12000,600,153,15453
Mumbai,Mira Road East,2,1,0,18,acept,not furnished,1500,3900,0,57,5457
Chennai,Madipakkam,1,1,1,1,acept,not furnished,2391,3810,192,51,6444
Delhi,Defence Colony,2,3,1,1,not acept,not furnished,2700,13800,276,180,16956
Bangalore,Bommanahalli,2,1,1,5,acept,not furnished,2580,10200,0,132,12912
Chennai,Kanathur Reddikuppam,1,1,1,7,not acept,not furnished,1245,2475,99,33,3852
Mumbai,Andheri West,2,2,0,2,acept,not furnished,1200,4668,300,69,6237
Bangalore,Whitefield,2,1,1,7,not acept,furnished,1395,4071,0,18,5484
Delhi,Vasant Kunj,2,2,1,9,acept,not furnished,2640,11400,240,147,14427
Delhi,Uttam Nagar,2,2,1,4,not acept,furnished,2100,15000,252,195,17547
Delhi,Safdarjung Enclave,2,2,1,5,not acept,furnished,5496,8250,789,108,14643
Chennai,Guduvancheri,2,1,1,1,acept,not furnished,1290,2040,150,27,3507
Bangalore,Yelahanka New Town,1,1,0,2,acept,not furnished,594,4470,198,57,5319
Kolkata,Keshtopur,4,2,1,2,not acept,not furnished,1740,5400,654,72,7866
Bangalore,Hormavu,3,2,1,12,acept,furnished,5100,16500,1245,210,23055
Delhi,Shivalik,2,1,0,4,acept,not furnished,1155,7950,246,105,9456
Bangalore,Electronic City Phase II,1,1,0,2,not acept,not furnished,0,6180,0,81,6261
Kolkata,Keshtopur,3,2,2,1,acept,not furnished,2424,4800,720,66,8010
Delhi,Ghitorni,3,2,1,7,acept,not furnished,6900,11400,1800,147,20247
Bangalore,Marathahalli,3,5,2,7,acept,not furnished,0,13800,1827,210,15837
Bangalore,Hosur Road,1,2,2,9,acept,not furnished,3723,12000,1266,153,17142
Kolkata,Santoshpur,3,1,1,-,not acept,not furnished,0,3600,102,60,3762
Bangalore,Electronics City Phase 1,4,3,2,20,acept,furnished,3780,16800,1002,213,21795
Bangalore,Bannerghatta Road,3,3,2,-,acept,not furnished,0,26700,1113,402,28215
Kolkata,Konnagar,4,4,6,10,acept,furnished,9600,35700,37500,477,83280
Bangalore,Sonnenahalli,3,3,3,8,acept,not furnished,5286,7500,2223,96,15105
Bangalore,Electronic City,2,2,1,-,acept,not furnished,0,5910,0,90,6000
Bangalore,Rachenahalli,2,2,1,12,not acept,furnished,2826,10200,213,132,13371
Mumbai,Malabar Hill,3,3,4,-,acept,furnished,0,11100,1038,198,12336
Mumbai,Nilje Gaon,4,3,1,5,acept,furnished,3600,12750,900,189,17439
Kolkata,Rajarhat,3,2,1,2,acept,not furnished,2235,3900,357,54,6546
Bangalore,Amruthahalli,4,2,3,2,acept,furnished,3300,16500,1560,210,21570
Bangalore,Sarjapur  Road,2,1,1,1,acept,not furnished,840,3000,414,39,4293
Delhi,Jamia Nagar,3,2,2,4,acept,not furnished,2901,6600,276,87,9864
Bangalore,Banjara Layout,4,4,6,-,acept,not furnished,0,15840,2001,240,18081
Bangalore,Whitefield,2,1,0,-,not acept,not furnished,150,3300,0,51,3501
Bangalore,Kengeri,4,6,4,12,acept,not furnished,8550,9000,7974,117,25641
Mumbai,Naigaon East,1,1,0,1,acept,not furnished,300,2445,51,36,2832
Kolkata,Narayantala,4,4,2,8,acept,not furnished,6723,12300,951,165,20139
Bangalore,Hosur Road,2,1,1,1,acept,not furnished,1950,5400,24,69,7443
Delhi,New Ashok Nagar,3,1,1,2,acept,not furnished,3000,10500,552,138,14190
Bangalore,Malleshwaram,3,2,1,12,acept,not furnished,2640,5490,342,72,8544
Mumbai,Station Pada,2,1,0,-,acept,not furnished,750,3450,174,63,4437
Bangalore,Bommasandra Industrial Area,4,7,8,-,acept,not furnished,0,135000,26250,2031,163290
Kolkata,Barisha Purba Para Road,3,2,2,4,acept,not furnished,1980,2910,447,39,5376
Bangalore,Ambedkar Nagar,1,1,1,3,acept,furnished,2100,9000,399,117,11616
Delhi,Sector 3 Rohini,3,3,3,6,acept,not furnished,7500,12000,2970,156,22626
Chennai,Selaiyur,3,2,1,9,acept,not furnished,1905,4800,300,63,7068
Bangalore,Bannerghatta Road,3,1,0,-,acept,not furnished,0,6600,0,102,6702
Bangalore,Rajaji Nagar,3,2,2,-,acept,furnished,0,9000,0,138,9138
Delhi,Greater kailash 1,1,1,0,5,not acept,not furnished,750,3300,114,45,4209
Bangalore,Kanakpura Road,2,1,0,-,acept,not furnished,0,3240,282,51,3573
Kolkata,Kudgat,2,3,1,9,acept,furnished,2559,7050,663,96,10368
Kolkata,south dum dum,2,2,1,5,acept,not furnished,1200,2997,297,42,4536
Bangalore,Haralur Road,3,2,2,-,acept,not furnished,0,7500,0,114,7614
Kolkata,Baranagar,4,4,3,12,not acept,furnished,4902,19500,2088,261,26751
Mumbai,Ville Parle West,3,2,2,4,acept,not furnished,2955,8700,726,129,12510
Delhi,Sector 19 Dwarka,2,1,0,5,acept,not furnished,1779,3000,1200,39,6018
Bangalore,Uttarahalli,2,1,0,-,acept,not furnished,0,6600,0,102,6702
Bangalore,Electronic City Phase II,1,1,1,6,not acept,furnished,7200,10500,0,135,17835
Mumbai,Thane West,1,1,1,1,not acept,furnished,750,3150,24,48,3972
Bangalore,Indira Nagar,2,2,1,13,acept,not furnished,2100,3750,450,48,6348
Delhi,Gulmohar park,3,2,0,4,acept,not furnished,2850,16500,729,213,20292
Bangalore,Panathur,3,2,2,-,acept,not furnished,300,7500,225,114,8139
Bangalore,Whitefield,1,1,0,2,not acept,furnished,2130,9300,255,36,11721
Bangalore,Billekahalli,4,5,6,7,acept,not furnished,8550,13500,3201,174,25425
Delhi,Greater kailash 1,1,1,0,9,acept,furnished,6900,6900,0,90,13890
Delhi,Chattarpur,2,1,0,1,not acept,not furnished,1500,6000,171,78,7749
Bangalore,Kanakpura Road,2,1,1,6,acept,not furnished,3192,3300,0,42,6534
Bangalore,Kanakpura Road,1,1,1,7,acept,furnished,5400,6000,0,78,11478
Bangalore,Frazer Town,6,5,5,-,acept,furnished,0,36000,10002,543,46560
Bangalore,Raja Rajeshwari Nagar,1,1,0,6,acept,not furnished,1140,2700,0,36,3876
Kolkata,Tollygunge,4,2,1,7,not acept,not furnished,2550,7650,27,102,10329
Bangalore,Bommanahalli,2,1,1,5,acept,not furnished,3180,9900,63,126,13269
Bangalore,Malleshwaram,2,2,1,6,acept,not furnished,3300,15810,1002,201,20313
Delhi,Vasant Kunj,2,1,0,2,acept,not furnished,600,3600,426,48,4674
Bangalore,ISRO Layout,2,3,3,8,acept,not furnished,9630,16500,219,210,26559
Bangalore,Babusapalaya,2,3,2,4,acept,not furnished,3600,8409,1488,108,13605
Mumbai,Airoli,2,2,2,7,not acept,not furnished,1350,4500,150,66,6066
Chennai,Veppampatttu,1,1,1,2,acept,furnished,870,4800,210,63,5943
Bangalore,Hebbal,4,3,3,-,acept,furnished,0,15000,1002,228,16230
Bangalore,Begur Road,3,2,2,4,acept,not furnished,9300,19200,2100,246,30840
Bangalore,Yelahanka,1,1,0,-,not acept,not furnished,0,2640,144,42,2826
Bangalore,Banashankari,5,4,8,-,not acept,not furnished,0,27000,2286,408,29694
Bangalore,Green Glen Layout,3,3,2,16,not acept,furnished,2700,9450,363,120,12633
Delhi,Uttam Nagar,1,1,0,-,not acept,not furnished,210,4200,114,66,4590
Bangalore,Electronic City,1,1,0,-,not acept,not furnished,0,2850,0,45,2895
Bangalore,Chandapura,2,2,2,13,acept,furnished,3252,9900,621,126,13899
Chennai,Periyapanicheri,5,4,0,-,acept,not furnished,0,23205,1251,351,24807
Delhi,Govindpuri,1,1,0,6,acept,furnished,1740,5550,177,72,7539
Kolkata,Dum Dum,2,1,0,1,acept,not furnished,0,3000,117,42,3159
Chennai,Ponmar,1,1,0,5,not acept,not furnished,1320,2676,51,36,4083
Bangalore,Electronic City,2,2,1,-,not acept,not furnished,0,4350,240,66,4656
Bangalore,BTM 2nd Stage,3,4,2,4,not acept,not furnished,7350,30000,2502,381,40230
Bangalore,BTM 2nd Stage,4,3,2,5,acept,not furnished,5100,20100,1980,255,27435
Mumbai,Virar,2,1,1,4,acept,not furnished,750,3300,66,51,4167
Bangalore,8th Phase JP Nagar,2,1,1,8,acept,not furnished,2280,9000,435,117,11832
Mumbai,Santacruz West,2,2,1,6,acept,furnished,1350,7350,282,108,9090
Mumbai,Chembur,2,2,1,2,acept,not furnished,1500,8160,225,120,10005
Bangalore,Rajiv Nagar,4,5,5,20,not acept,not furnished,7500,12000,3000,87,22587
Bangalore,Roopena Agrahara,3,3,3,-,acept,furnished,0,13350,3600,201,17151
Bangalore,Harlur,4,3,3,6,acept,not furnished,8550,36000,2100,459,47100
Delhi,Noida,3,2,0,5,acept,furnished,2940,5400,486,72,8898
Delhi,South Extension 2,2,1,1,2,acept,not furnished,4050,7500,627,99,12276
Delhi,Sector 5 Dwarka,3,1,1,-,acept,furnished,0,22950,1998,351,25299
Chennai,Siruseri,1,1,0,1,not acept,not furnished,210,3300,27,42,3579
Kolkata,south dum dum,2,2,1,4,acept,not furnished,930,2850,258,39,4077
Delhi,Greater kailash 1,1,1,1,13,not acept,furnished,0,13560,0,177,13737
Bangalore,Hoodi,3,3,2,6,acept,not furnished,7260,7740,3000,99,18099
Delhi,Uttam Nagar,2,1,0,3,not acept,not furnished,1350,3300,0,45,4695
Bangalore,KR Puram,2,2,1,2,acept,not furnished,1800,3900,201,51,5952
Delhi,Jamia Nagar,4,3,1,10,acept,not furnished,2760,14400,501,186,17847
Kolkata,Tangra,2,1,1,1,acept,not furnished,600,3150,0,42,3792
Bangalore,Begur Road,4,3,3,20,acept,furnished,6240,16500,3276,210,26226
Bangalore,Jakkur,4,3,2,1,acept,not furnished,5199,15000,1710,192,22101
Bangalore,Iblur Village,2,2,1,6,acept,not furnished,3000,10500,276,135,13911
Delhi,Greater Kailash,1,1,0,1,acept,furnished,1500,4200,78,57,5835
Delhi,Saket,1,1,0,11,acept,not furnished,1500,5160,0,69,6729
Mumbai,Powai,1,1,0,20,acept,not furnished,840,2265,81,36,3222
Delhi,Dwarka Mor,2,2,1,3,acept,not furnished,2070,2550,0,33,4653
Mumbai,Ambernath East,3,1,0,3,acept,not furnished,1800,5400,126,81,7407
Bangalore,Thanisandra,3,3,2,-,not acept,not furnished,0,8400,558,129,9087
Delhi,New Ashok Nagar,4,3,0,2,acept,furnished,2250,29700,423,384,32760
Bangalore,Hennur Road,2,2,1,-,not acept,not furnished,0,13500,1242,204,14946
Bangalore,Chandapura,2,1,1,12,acept,furnished,2220,5100,102,66,7488
Bangalore,Padmanabhanagar,3,1,2,10,acept,not furnished,2859,10500,690,135,14184
Chennai,Vandalur,2,1,1,-,acept,not furnished,822,3000,21,39,3882
Bangalore,Hoodi,3,2,2,-,acept,not furnished,0,9600,675,147,10422
Kolkata,Joka,3,2,2,-,acept,not furnished,0,12000,552,198,12750
Bangalore,EPIP Zone,2,2,3,-,acept,not furnished,0,14400,1350,219,15969
Bangalore,Raja Rajeshwari Nagar,1,1,0,7,acept,not furnished,1200,3600,0,48,4848
Kolkata,Lake Gardens,1,4,0,4,not acept,not furnished,3351000,8370,192,114,3360000
Bangalore,Nallurhalli,4,6,5,8,not acept,not furnished,13842,14583,11316,186,39930
Bangalore,Nagavara,1,1,2,-,acept,not furnished,0,4800,501,75,5376
Bangalore,Hebbal,3,2,2,-,acept,not furnished,0,45000,1377,678,47070
Bangalore,Pai Layout,3,3,2,-,acept,not furnished,0,12000,276,183,12459
Bangalore,8th Phase JP Nagar,2,1,1,9,acept,not furnished,1440,3450,165,45,5100
Bangalore,Hormavu,3,3,2,-,acept,not furnished,0,14550,1002,219,15771
Bangalore,Yelahanka,1,1,0,11,not acept,not furnished,1110,10200,222,132,11664
Bangalore,Whitefield,1,1,1,13,acept,not furnished,1500,5400,0,69,6969
Bangalore,CV Raman Nagar,3,5,5,-,acept,not furnished,0,18000,6000,273,24273
Kolkata,Ballygunge,2,2,2,4,acept,not furnished,690,4950,462,66,6168
Delhi,Neb Sarai,1,1,0,2,acept,furnished,0,7200,75,93,7368
Bangalore,Bileshivale,2,2,2,-,acept,not furnished,0,6003,477,93,6573
Bangalore,Kanakpura Road,1,1,1,6,acept,not furnished,2049,6300,0,81,8430
Bangalore,R.T. Nagar,2,1,1,-,acept,not furnished,0,4470,222,69,4761
Bangalore,KUDLU MAIN ROAD,3,3,7,-,acept,not furnished,0,24000,2502,363,26865
Delhi,Malviya Nagar,1,1,0,-,acept,not furnished,900,5400,90,72,6462
Bangalore,Ambedkar Colony,4,4,3,-,acept,not furnished,0,21900,1980,330,24210
Delhi,Dwarka Mor,2,1,1,2,acept,not furnished,1680,6540,180,87,8487
Delhi,Khadda Colony,4,3,1,8,not acept,furnished,7500,17850,1500,231,27081
Bangalore,KR Puram,1,1,0,1,not acept,not furnished,450,2190,0,30,2670
Bangalore,Yeshwanthpur,2,5,4,-,acept,not furnished,0,18000,1452,273,19725
Kolkata,Picnic Garden,3,2,1,2,not acept,not furnished,1350,4500,255,60,6165
Chennai,Gopalapuram,4,5,5,-,acept,not furnished,0,39000,1422,588,41010
Kolkata,Tollygunge,6,2,1,-,acept,not furnished,0,10200,402,168,10770
Delhi,Patel Nagar,3,2,2,1,acept,not furnished,5400,17100,1737,222,24459
Bangalore,Raja Rajeshwari Nagar,1,1,1,1,acept,not furnished,0,2931,90,39,3060
Bangalore,Jakkur,4,4,2,4,acept,not furnished,6000,9600,402,123,16125
Bangalore,Sultan Palaya,4,6,0,8,acept,not furnished,10251,23700,7158,303,41400
Bangalore,Hebbal,3,2,8,-,acept,not furnished,0,19500,4080,294,23874
Chennai,Veppampatttu,2,3,1,7,acept,not furnished,3588,6012,0,78,9678
Bangalore,Kudlu,1,1,0,6,acept,not furnished,657,4416,126,18,5217
Mumbai,Bandra East,1,1,0,7,acept,not furnished,930,2040,63,30,3063
Delhi,Defence Colony,2,2,1,2,acept,not furnished,3000,10500,630,138,14268
Kolkata,Gariahat,4,5,5,26,acept,not furnished,15213,42000,6723,561,64500
Delhi,Chattarpur,1,2,0,10,acept,furnished,1290,6732,150,87,8259
Bangalore,HSR Layout,1,1,1,14,not acept,furnished,4860,8400,837,108,14205
Bangalore,Sarjapur  Road,2,1,0,1,acept,not furnished,0,7344,477,96,7917
Bangalore,Margondanahalli,1,1,1,1,acept,furnished,1650,7800,150,99,9699
Bangalore,Hosa Road,1,1,0,7,not acept,not furnished,870,6000,390,78,7338
Mumbai,Malad West,1,1,0,5,acept,not furnished,1200,2820,105,42,4167
Bangalore,Thigalarapalya,3,2,2,11,acept,furnished,7800,15000,1251,192,24243
Kolkata,Kaikhali,1,1,0,3,not acept,furnished,1260,3900,225,54,5439
Mumbai,Borivali West,2,1,0,1,acept,not furnished,780,6300,276,93,7449
Bangalore,Bellandur,3,4,5,-,acept,not furnished,0,9900,798,150,10848
Bangalore,Yelahanka,1,1,0,6,acept,not furnished,2670,10389,0,96,13155
Chennai,tambaram west,1,1,1,10,not acept,furnished,1800,3000,144,39,4983
Delhi,Katwaria Sarai,3,2,2,11,acept,furnished,3300,10500,975,138,14913
Mumbai,Panvel,1,1,0,4,acept,furnished,570,5400,60,81,6111
Mumbai,Sector-18 Ulwe,3,6,4,12,acept,not furnished,15600,45000,3750,660,65010
Delhi,nawada,1,1,0,3,acept,furnished,1950,10200,51,132,12333
Kolkata,North Dumdum,4,4,3,7,acept,not furnished,2700,19500,1107,261,23568
Bangalore,Thanisandra,3,4,3,20,not acept,furnished,7350,36000,3783,459,47580
Bangalore,Hegde Nagar,3,3,2,8,acept,not furnished,2598,5130,270,66,8064
Bangalore,Harlur,3,4,3,7,acept,furnished,12000,25500,3501,324,41340
Mumbai,Santacruz East,2,1,0,1,acept,not furnished,840,4440,96,66,5442
Bangalore,Rachenahalli,2,2,2,10,acept,not furnished,2310,4350,210,57,6927
Mumbai,Khar,3,2,1,1,acept,furnished,1617,9000,360,132,11109
Bangalore,Raja Rajeshwari Nagar,1,1,0,18,acept,not furnished,750,5550,0,72,6372
Kolkata,Kasba,3,2,2,3,not acept,furnished,1650,7800,744,60,10254
Bangalore,Ramamurthy Nagar,2,2,2,7,not acept,furnished,4800,19800,1200,252,26052
Bangalore,Prithvi Layout,3,5,0,-,acept,not furnished,0,18000,1464,273,19737
Chennai,Thiruvidandhai,3,2,1,9,not acept,not furnished,2655,5400,339,69,8463
Bangalore,Budigere,3,1,1,9,acept,not furnished,1290,4350,0,57,5697
Chennai,Pattabiram,3,3,2,1,acept,not furnished,6048,17700,681,225,24654
Mumbai,Sector 34 Kamothe,3,2,2,1,acept,not furnished,900,7500,759,111,9270
Bangalore,Yelahanka,1,1,0,-,acept,not furnished,3,3000,18,48,3069
Kolkata,Rajarhat,2,1,0,2,not acept,not furnished,150,3288,177,45,3660
Bangalore,Varthur,2,2,0,-,acept,furnished,0,3750,0,57,3807
Bangalore,Harlur,3,4,4,10,not acept,not furnished,5100,15000,3000,192,23292
Mumbai,Malad East,2,2,1,9,acept,not furnished,900,5100,0,75,6075
Mumbai,Goregaon West,3,2,2,3,acept,furnished,3900,9600,501,141,14142
Delhi,Paschim Vihar,1,1,0,4,not acept,not furnished,1590,5847,300,78,7815
Delhi,New Friends Colony,3,2,1,8,acept,furnished,3270,8040,342,105,11757
Bangalore,Sarjapura - Attibele Road,4,4,2,10,acept,not furnished,8895,18000,1815,231,28941
Mumbai,Santacruz East,3,2,0,8,acept,not furnished,1050,5100,183,75,6408
Bangalore,9th Phase JP Nagar,1,1,0,4,acept,not furnished,900,3486,57,45,4488
Bangalore,Yeshwanthpur,4,7,4,-,acept,furnished,0,36000,2001,543,38550
Chennai,Urapakkam,2,1,1,7,acept,not furnished,744,2940,231,39,3954
Bangalore,Anandapura,4,4,6,-,acept,not furnished,0,30000,3000,453,33450
Mumbai,Ghatkopar West,2,2,1,3,acept,not furnished,2100,7500,303,111,10014
Bangalore,Hormavu,3,5,3,7,acept,furnished,5250,8400,1800,108,15558
Mumbai,Bandra West,2,1,1,-,acept,not furnished,510,2400,72,36,3018
Delhi,Uttam Nagar,2,3,1,7,acept,furnished,2550,3900,960,30,7440
Bangalore,Bommanahalli,2,1,2,10,acept,furnished,6060,9300,999,120,16479
Bangalore,Old Madras Road,4,4,4,-,acept,not furnished,0,32400,2400,489,35280
Bangalore,JP Nagar,4,4,2,5,acept,not furnished,12600,12000,3126,153,27879
Bangalore,Kadugodi,1,1,0,3,not acept,furnished,1410,10500,381,135,12426
Kolkata,B T Road,2,2,1,3,acept,not furnished,2550,4800,4500,66,11916
Bangalore,Hulimavu,1,1,0,-,not acept,not furnished,0,2610,0,42,2652
Bangalore,Whitefield,3,1,1,4,not acept,not furnished,2556,7500,378,96,10530
Delhi,Friends Colony,3,3,2,4,acept,furnished,7500,27000,1101,348,35940
Chennai,Sholinganallur,1,1,2,-,acept,not furnished,0,4830,150,75,5055
Bangalore,Hoodi,2,1,0,-,acept,not furnished,0,4950,501,75,5526
Mumbai,Andheri East,3,2,1,2,acept,furnished,1950,6600,180,99,8829
Bangalore,Electronic City,3,3,1,-,acept,not furnished,0,21000,2643,318,23961
Kolkata,Dhapa,1,1,1,7,not acept,not furnished,1275,6000,0,81,7356
Bangalore,Akshaya Nagar,4,1,2,-,not acept,not furnished,0,12000,1158,183,13341
Mumbai,Andheri East,2,1,1,1,acept,not furnished,0,3270,150,48,3468
Bangalore,Kanakpura Road,1,1,0,-,not acept,not furnished,0,2940,0,45,2985
Mumbai,Borivali West,3,1,0,1,acept,not furnished,1890,5550,240,84,7764
